id,version_id,image_type,local_path,original_url,width,height,created_at
3158,3158,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_p1.png?260130,,,2026-02-15 14:47:47.501115
3159,3159,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_r1.png?260130,,,2026-02-15 14:47:47.504022
3160,3160,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p5.png?260130,,,2026-02-15 14:47:47.505618
3161,3161,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_p1.png?260130,,,2026-02-15 14:47:47.508009
3162,3162,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-038_p1.png?260130,,,2026-02-15 14:47:47.510498
3163,3163,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-046_r1.png?260130,,,2026-02-15 14:47:47.512872
3164,3164,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048_r1.png?260130,,,2026-02-15 14:47:47.514413
3165,3165,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-051_p1.png?260130,,,2026-02-15 14:47:47.515995
3166,3166,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-057_r1.png?260130,,,2026-02-15 14:47:47.518406
3167,3167,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-060_p1.png?260130,,,2026-02-15 14:47:47.519957
3168,3168,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-061_r1.png?260130,,,2026-02-15 14:47:47.522239
3169,3169,front,,https://en.onepiece-cardgame.com/images/cardlist/card/EB02-061_r1.png?260130,,,2026-02-15 14:47:47.523820
3170,3170,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-039_p1.png?260130,,,2026-02-15 14:47:47.525373
3171,3171,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-055_p1.png?260130,,,2026-02-15 14:47:47.527674
3172,3172,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-005_p1.png?260130,,,2026-02-15 14:47:47.529966
3173,3173,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-068_p1.png?260130,,,2026-02-15 14:47:47.532247
3174,3174,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-008_p2.png?260130,,,2026-02-15 14:47:47.534571
3175,3175,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-044_r1.png?260130,,,2026-02-15 14:47:47.536922
3176,3176,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-048_p1.png?260130,,,2026-02-15 14:47:47.538574
3177,3177,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-072_p1.png?260130,,,2026-02-15 14:47:47.540891
3178,3178,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-097_r1.png?260130,,,2026-02-15 14:47:47.543204
3179,3179,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-016_p1.png?260130,,,2026-02-15 14:47:47.544730
3180,3180,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-077_p1.png?260130,,,2026-02-15 14:47:47.547055
3181,3181,front,,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-083_r2.png?260130,,,2026-02-15 14:47:47.549354
